Infinitive,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Plural,Hilfsverb
touren,toure,tourst,tourt,tourte,getourt,tourte,toure,tourt,hat
abfrühstücken,frühstücke ab,frühstückst ab,frühstückt ab,frühstückte ab,abgefrühstückt,frühstückte ab,frühstücke ab,frühstückt ab,hat
kriminalisieren,kriminalisiere,kriminalisierst,kriminalisiert,kriminalisierte,kriminalisiert,kriminalisierte,kriminalisier,kriminalisiert,hat
durchziehen,ziehe durch,ziehst durch,zieht durch,zog durch,durchgezogen,zöge durch,zieh durch,zieht durch,hat
durchwachsen,—,—,wächst durch,wuchs durch,durchgewachsen,wüchse durch,—,—,ist
durchsagen,sage durch,sagst durch,sagt durch,sagte durch,durchgesagt,sagte durch,sage durch,sagt durch,hat
dressen,dresse,dresst,dresst,dresste,gedresst,dresste,dress,dresst,hat
mitgehen,gehe mit,gehst mit,geht mit,ging mit,mitgegangen,ginge mit,geh mit,geht mit,ist
schütten,schütte,schüttest,schüttet,schüttete,geschüttet,schüttete,schütt,schüttet,hat
eingestehen,gestehe ein,gestehst ein,gesteht ein,gestand ein,eingestanden,gestände ein,gesteh ein,gesteht ein,hat
denominieren,denominiere,denominierst,denominiert,denominierte,denominiert,denominierte,denominiere,denominiert,hat
kappen,kappe,kappst,kappt,kappte,gekappt,kappte,kapp,kappt,hat
entstammen,entstamme,entstammst,entstammt,entstammte,entstammt,entstammte,entstamme,entstammt,ist
auspowern,powere aus,powerst aus,powert aus,powerte aus,ausgepowert,powerte aus,powere aus,powert aus,hat
digitalisieren,digitalisiere,digitalisierst,digitalisiert,digitalisierte,digitalisiert,digitalisierte,digitalisiere,digitalisiert,hat
grillieren,grilliere,grillierst,grilliert,grillierte,grilliert,grillierte,grillier,grilliert,hat
kampieren,kampiere,kampierst,kampiert,kampierte,kampiert,kampierte,kampier,kampiert,hat
notwassern,notwassere,notwasserst,notwassert,notwasserte,notgewassert,notwasserte,notwassere,notwassert,ist
nachstellen,stelle nach,stellst nach,stellt nach,stellte nach,nachgestellt,stellte nach,stell nach,stellt nach,hat
daniederliegen,liege danieder,liegst danieder,liegt danieder,lag danieder,daniedergelegen,läge danieder,lieg danieder,liegt danieder,hat
kaptivieren,kaptiviere,kaptivierst,kaptiviert,kaptivierte,kaptiviert,kaptivierte,kaptivier,kaptiviert,hat
beschweigen,beschweige,beschweigst,beschweigt,beschwieg,beschwiegen,beschwiege,beschweige,beschweigt,hat
biwakieren,biwakiere,biwakierst,biwakiert,biwakierte,biwakiert,biwakierte,biwakiere,biwakiert,hat
regalieren,regaliere,regalierst,regaliert,regalierte,regaliert,regalierte,regaliere,regaliert,hat
brüsten,brüste,brüstest,brüstet,brüstete,gebrüstet,brüstete,brüst,brüstet,hat
